Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,110.654999,113.698502,110.654999,113.533501,113.533501,78944000
2021-04-12,112.706001,114.800003,111.390999,114.137497,114.137497,127164000
2021-04-19,113.509003,115.306000,112.015999,114.996498,114.996498,128994000
2021-04-26,115.225998,121.569000,114.307999,117.675003,117.675003,243620000
2021-05-03,118.245499,119.077499,112.834000,117.596497,117.596497,153784000
2021-05-10,116.406998,116.550003,109.681000,113.918999,113.918999,176676000
2021-05-17,113.178497,115.944504,111.272003,114.706497,114.706497,140470000
2021-05-24,115.744499,119.452499,115.598000,117.842499,117.842499,132550000
2021-05-31,118.722000,119.951500,116.475998,119.678497,119.678497,87666000
2021-06-07,119.472000,122.085999,119.050003,121.510002,121.510002,114164000
2021-06-14,121.612999,122.775497,119.470001,120.111000,120.111000,142090000
2021-06-21,120.500504,123.095497,119.898499,122.508499,122.508499,124908000
2021-06-28,122.678497,125.403999,121.354500,125.257500,125.257500,120200000
2021-07-05,125.648499,127.283997,124.022003,125.518501,125.518501,92886000
2021-07-12,126.178001,129.326508,125.611000,126.970001,126.970001,105292000
2021-07-19,126.089500,133.399002,123.504997,133.014999,133.014999,130834000
2021-07-26,133.328506,138.296997,130.104004,134.726501,134.726501,237704000
2021-08-02,135.117004,136.472504,133.319504,135.738495,135.738495,100430000
2021-08-09,135.942505,137.856506,135.339493,137.727493,137.727493,84980000
2021-08-16,137.524994,138.362503,134.250000,137.429504,137.429504,116334000
2021-08-23,137.969498,144.512497,137.607498,144.003998,144.003998,112960000
2021-08-30,144.399994,146.253998,142.400497,143.739502,143.739502,121010000
2021-09-06,143.834503,144.718506,140.738007,140.876007,140.876007,90622000
2021-09-13,141.949493,144.450500,140.470001,140.800003,140.800003,148750000
2021-09-20,138.161499,142.330505,136.322006,142.214996,142.214996,140842000
2021-09-27,140.804504,141.938507,133.556000,136.542999,136.542999,171858000
2021-10-04,135.960495,140.330994,131.050003,139.785507,139.785507,159606000
2021-10-11,139.292007,141.718002,135.759995,141.367996,141.367996,136108000
2021-10-18,141.076508,143.662506,136.056000,137.566498,137.566498,140728000
2021-10-25,137.550003,148.649994,135.423996,148.046005,148.046005,248956000
2021-11-01,148.046005,150.327499,143.225494,148.852005,148.852005,184666000
2021-11-08,149.824997,150.615005,144.537506,148.677994,148.677994,111430000
2021-11-15,148.900497,150.966507,147.240005,148.926498,148.926498,131296000
2021-11-22,149.332504,149.829498,141.842499,142.182999,142.182999,106322000
2021-11-29,144.000000,146.297501,140.214493,142.001495,142.001495,179108000
2021-12-06,143.040497,149.100006,140.149994,148.001495,148.001495,134856000
2021-12-13,147.781494,147.970001,141.214996,141.725006,141.725006,185952000
2021-12-20,140.000000,148.243500,139.320999,146.916504,146.916504,108654000
2021-12-27,147.255997,148.343994,144.852005,144.852005,144.852005,85788000
2022-01-03,145.054993,146.485001,135.766495,137.016998,137.016998,178772000
